iter	Recall	Logloss
67	0.8556253018	0.3231341514
68	0.8556253018	0.3229219411
69	0.8556253018	0.3224996092
70	0.8556253018	0.3224435923
71	0.8556253018	0.3222922717
72	0.8556253018	0.3221813838
73	0.8556253018	0.3220172814
74	0.8556253018	0.3218741815
75	0.8556253018	0.3217779873
76	0.8556253018	0.3217589213
77	0.8556253018	0.3216665576
78	0.8556253018	0.3215154145
79	0.8556253018	0.3215092823
80	0.8556253018	0.3214839209
81	0.8556253018	0.3214496535
82	0.8556253018	0.321392764
83	0.8556253018	0.3213426152
84	0.8556253018	0.3212997521
85	0.8556253018	0.3212546378
86	0.8556253018	0.3211680345
87	0.8556253018	0.3210624999
88	0.8556253018	0.3210547592
89	0.8556253018	0.3210348879
90	0.8556253018	0.3209937205
91	0.8556253018	0.3209501737
92	0.8556253018	0.3209208003
93	0.8556253018	0.3209148086
94	0.8556253018	0.3208844595
95	0.8556253018	0.3207886269
96	0.8556253018	0.3207562413
97	0.8556253018	0.3206997596
98	0.8556253018	0.3205570476
99	0.8556253018	0.3204475313
100	0.8556253018	0.3204131874
101	0.8556253018	0.3203742889
102	0.8556253018	0.3203591897
103	0.8556253018	0.3203104696
104	0.8556253018	0.3202401669
105	0.8556253018	0.3202086617
106	0.8556253018	0.3201666723
107	0.8556253018	0.3201141429
108	0.8556253018	0.3201105174
109	0.8556253018	0.32000546
110	0.8556253018	0.3199618941
111	0.8556253018	0.3199427536
112	0.8556253018	0.3199206213
113	0.8556253018	0.3199048127
114	0.8556253018	0.3199000078
115	0.8556253018	0.3198696656
116	0.8556253018	0.3198407754
117	0.8556253018	0.3198045732
118	0.8556253018	0.3197228193
119	0.8556253018	0.3196136671
120	0.8556253018	0.3195097588
121	0.8556253018	0.3194943795
122	0.8556253018	0.3194554241
123	0.8556253018	0.319446772
124	0.8556253018	0.3194257176
125	0.8556253018	0.3194123575
126	0.8556253018	0.319407058
127	0.8556253018	0.3193837193
128	0.8556253018	0.3193502343
129	0.8556253018	0.3193177522
130	0.8556253018	0.3192988061
131	0.8556253018	0.3192947927
132	0.8556253018	0.3192896925
133	0.8556253018	0.3192842939
134	0.8556253018	0.3192377139
135	0.8556253018	0.3192352719
136	0.8556253018	0.3192313651
137	0.8556253018	0.3191815182
138	0.8556253018	0.3191649707
139	0.8556253018	0.3191435082
140	0.8556253018	0.3191310299
141	0.8556253018	0.3191211636
142	0.8556253018	0.3190987234
143	0.8556253018	0.3190977104
144	0.8556253018	0.3190849825
145	0.8556253018	0.3190813255
146	0.8556253018	0.3190691212
147	0.8556253018	0.319063939
148	0.8556253018	0.3190413876
149	0.8556253018	0.3190376296
150	0.8556253018	0.318996305
151	0.8556253018	0.3189801505
152	0.8556253018	0.3189762881
153	0.8556253018	0.3189457961
154	0.8556253018	0.3189227714
155	0.8556253018	0.3189153433
156	0.8556253018	0.3189125289
157	0.8556253018	0.3188882924
158	0.8556253018	0.3188805618
159	0.8556253018	0.318874238
160	0.8556253018	0.3188477361
161	0.8556253018	0.3188466578
162	0.8556253018	0.3188356386
163	0.8556253018	0.3188317764
164	0.8556253018	0.3188051217
165	0.8556253018	0.318802482
166	0.8556253018	0.3187826649
167	0.8556253018	0.3187331293
168	0.8556253018	0.318701397
169	0.8556253018	0.3186667549
170	0.8556253018	0.3186377272
171	0.8556253018	0.318608128
172	0.8556253018	0.3185473683
173	0.8556253018	0.3185460772
174	0.8556253018	0.31850623
175	0.8556253018	0.3184687428
176	0.8556253018	0.3184637443
177	0.8556253018	0.3184447004
178	0.8556253018	0.3184233876
179	0.8556253018	0.3184230683
180	0.8556253018	0.31841228
181	0.8556253018	0.3183989643
182	0.8556253018	0.318398942
183	0.8556253018	0.3183960452
184	0.8556253018	0.318394209
185	0.8556253018	0.3183860368
186	0.8556253018	0.3183775599
187	0.8556253018	0.3183579921
188	0.8556253018	0.3183570063
189	0.8556253018	0.3183390523
190	0.8556253018	0.3183328146
191	0.8556253018	0.3183316633
192	0.8556253018	0.3183163652
193	0.8556253018	0.3182856618
194	0.8556253018	0.3182738327
195	0.8556253018	0.3182630601
196	0.8556253018	0.3182617733
197	0.8556253018	0.3182221667
198	0.8556253018	0.3182177233
199	0.8556253018	0.3182056814
200	0.8556253018	0.3181971956
201	0.8556253018	0.3181961259
202	0.8556253018	0.3181954948
203	0.8556253018	0.3181612447
204	0.8556253018	0.3181591475
205	0.8556253018	0.3181591261
206	0.8556253018	0.3181316767
207	0.8556253018	0.3181238419
208	0.8556253018	0.318122573
209	0.8556253018	0.3181036242
210	0.8556253018	0.3180947533
211	0.8556253018	0.318073408
212	0.8556253018	0.3180662397
213	0.8556253018	0.3180656084
214	0.8556253018	0.3180644478
215	0.8556253018	0.3179996059
216	0.8556253018	0.3179803484
217	0.8556253018	0.3179778845
218	0.8556253018	0.3179087606
219	0.8556253018	0.3179040136
220	0.8556253018	0.3179010416
221	0.8556253018	0.317900933
222	0.8556253018	0.3178920674
223	0.8556253018	0.3178875505
224	0.8556253018	0.3178430516
225	0.8556253018	0.3178430512
226	0.8556253018	0.3178232975
227	0.8556253018	0.3177986351
228	0.8556253018	0.3177919144
229	0.8556253018	0.317791336
230	0.8556253018	0.3177910966
231	0.8556253018	0.3177398617
232	0.8556253018	0.3177395469
233	0.8556253018	0.3177388339
234	0.8556253018	0.3177376847
235	0.8556253018	0.3177283718
236	0.8556253018	0.3177131373
237	0.8556253018	0.3177026073
238	0.8556253018	0.3176897008
239	0.8556253018	0.3176861736
240	0.8556253018	0.3176860257
241	0.8556253018	0.3176736372
242	0.8556253018	0.3176736329
243	0.8556253018	0.3176692568
244	0.8556253018	0.3176692319
245	0.8556253018	0.3176687818
246	0.8556253018	0.3176649778
247	0.8556253018	0.3176538786
248	0.8556253018	0.3176245585
249	0.8556253018	0.3176220412
250	0.8556253018	0.3176023694
251	0.8556253018	0.3176004784
252	0.8556253018	0.3175959278
253	0.8556253018	0.3175959142
254	0.8556253018	0.3175813681
255	0.8556253018	0.3175803779
256	0.8556253018	0.3175794884
257	0.8556253018	0.3175769451
258	0.8556253018	0.3175551013
259	0.8556253018	0.3175507734
260	0.8556253018	0.3175378479
261	0.8556253018	0.3175285231
262	0.8556253018	0.3175233012
263	0.8556253018	0.3175063295
264	0.8556253018	0.3175059557
265	0.8556253018	0.3175058392
266	0.8556253018	0.3174911681
267	0.8556253018	0.3174866037
268	0.8556253018	0.3174752696
269	0.8556253018	0.3174612581
270	0.8556253018	0.3174565643
271	0.8556253018	0.3174480113
272	0.8556253018	0.3174413326
273	0.8556253018	0.3174396122
274	0.8556253018	0.3174391113
275	0.8556253018	0.3173959462
276	0.8556253018	0.3173909609
277	0.8556253018	0.3173865374
278	0.8556253018	0.3173852561
279	0.8556253018	0.3173837812
280	0.8556253018	0.3173619267
281	0.8556253018	0.3173561252
282	0.8556253018	0.3173510471
283	0.8556253018	0.3173465193
284	0.8556253018	0.3173371942
285	0.8556253018	0.3173183898
286	0.8556253018	0.3173093905
287	0.8556253018	0.3172960946
288	0.8556253018	0.3172940911
289	0.8556253018	0.3172738439
290	0.8556253018	0.3172716711
291	0.8556253018	0.3172612636
292	0.8556253018	0.3172225247
293	0.8556253018	0.3172206411
294	0.8556253018	0.3172110044
295	0.8556253018	0.3172077901
296	0.8556253018	0.3172072848
297	0.8556253018	0.3172067313
298	0.8556253018	0.3171918455
299	0.8556253018	0.3171513794
