iter	Recall	Logloss
0	0.8546595847	0.6437725969
1	0.8546595847	0.6020087294
2	0.8556253018	0.5726202651
3	0.8556253018	0.5424840454
4	0.8556253018	0.5163248712
5	0.854901014	0.4959064299
6	0.8556253018	0.4770786074
7	0.8556253018	0.457939029
8	0.8556253018	0.4460930315
9	0.8556253018	0.4321484951
10	0.8556253018	0.4209084492
11	0.8556253018	0.4106102359
12	0.854901014	0.40170842
13	0.8556253018	0.393234731
14	0.8556253018	0.38643917
15	0.8556253018	0.38004567
16	0.8556253018	0.3744100592
17	0.8556253018	0.3693379354
18	0.8556253018	0.3647225954
19	0.8556253018	0.3608288075
20	0.8556253018	0.3570704267
21	0.8556253018	0.3539526319
22	0.8556253018	0.3510838704
23	0.8556253018	0.3486545528
24	0.8556253018	0.3465068703
25	0.8556253018	0.3444149475
26	0.8556253018	0.3426530555
27	0.8556253018	0.3412967911
28	0.8556253018	0.3398793265
29	0.8556253018	0.3385632619
30	0.8582810237	0.3374889538
31	0.8556253018	0.3364083594
32	0.8556253018	0.3352807828
33	0.8556253018	0.3343233259
34	0.8556253018	0.3335725788
35	0.8556253018	0.3328225613
36	0.8556253018	0.3321988256
37	0.8556253018	0.3315857243
38	0.8556253018	0.3304293165
39	0.8556253018	0.3298003892
40	0.8556253018	0.3293234548
41	0.8556253018	0.3289789599
42	0.8556253018	0.3285645941
43	0.8556253018	0.328277761
44	0.8556253018	0.3278679941
45	0.8556253018	0.3274940134
46	0.8556253018	0.327070101
47	0.8556253018	0.3268114516
48	0.8556253018	0.326530052
49	0.8556253018	0.325973071
50	0.8556253018	0.325687037
51	0.8556253018	0.325554396
52	0.8556253018	0.325380936
53	0.8556253018	0.3250705741
54	0.8556253018	0.3248891598
55	0.8556253018	0.3248122083
56	0.8556253018	0.3247450709
57	0.8556253018	0.3246029498
58	0.8556253018	0.324517005
59	0.8556253018	0.3243589171
60	0.8556253018	0.3239401389
61	0.8556253018	0.3238973713
62	0.8556253018	0.3237084107
63	0.8556253018	0.3235537607
64	0.8556253018	0.323459425
65	0.8556253018	0.3233177856
66	0.8556253018	0.3232626185
